name,tier,tier_label,sector,status,next_contact,notes
"Nero Giardini","2","AI video angle","Fashion","pending","2026-05-29","Italian fashion content"
"Colmar","2","AI video angle","Fashion","pending","2026-05-30","Italian sport fashion content"
"Adidas","2","AI video angle","Luxury","pending","2026-05-23","Large content production needs"
"Dainese","2","AI video angle","Luxury","pending","2026-05-29","Italian sport brand content"
"Sky","2","AI video angle","Streaming/TV","pending","2026-05-24","Quoted 1x, never won"
"Fondazione Umberto Veronesi","2","AI video angle","Non-profit","pending","2026-05-22","Science communication fit"
"LUISS","1","Existing client","Education","pending","2026-05-23","Won 1/1 bids, €6k total, last win 2014"
"Pegaso Università","2","AI video angle","Education","pending","2026-05-31","Online university content"
"La Repubblica","2","AI video angle","Media","pending","2026-05-24","Editorial AI content"
"Sky Italia","2","AI video angle","Media","pending","2026-05-25","Streaming/content platform"
"Mondadori","2","AI video angle","Media","pending","2026-05-26","Publishing brand content"
"Ikea","2","AI video angle","Furniture/Living","pending","2026-05-25","Large global content budget"
"Esselunga","2","AI video angle","Supermarket","pending","2026-05-26","Large retail video needs"
"Lidl","2","AI video angle","Supermarket","pending","2026-05-26","Large retail video needs"
"Mediaworld / Expert","2","AI video angle","Tech Shops","pending","2026-05-27","Large retail content production"
"Unieuro","2","AI video angle","Tech Shops","pending","2026-05-27","Quoted 1x, never won"
"Mc Donald's Italia","2","AI video angle","Food&Beverage","pending","2026-05-25","Large content production needs"
"Ferrarelle","2","AI video angle","Food","pending","2026-05-28","Quoted 1x, never won"
"San Benedetto","2","AI video angle","Food","pending","2026-05-29","Beverage content production"
"Acqua Lete","2","AI video angle","Food","pending","2026-05-29","Quoted 1x, never won"
"Granoro","2","AI video angle","Food","pending","2026-05-30","Quoted 1x, never won"
"Sammontana","2","AI video angle","Food","pending","2026-05-30","Italian food brand content"
"Chicco / Artsana","2","AI video angle","Baby","pending","2026-05-28","Quoted 1x, never won"
"Mellin / Nutricia","2","AI video angle","Baby","pending","2026-05-29","Baby food brand content"
"HP","2","AI video angle","Tech","pending","2026-05-31","Corporate content needs"
"Alcantara","2","AI video angle","Luxury","pending","2026-05-31","Italian luxury brand content"
"Pitti Immagini","2","AI video angle","Fashion","pending","2026-05-31","Fashion show content"
"Cosmoproof","2","AI video angle","Beauty","pending","2026-05-31","Beauty trade show content"
"Swatch","2","AI video angle","Fashion","pending","2026-06-01","Lifestyle brand content"
"Jimmy Choo","2","AI video angle","Luxury","pending","2026-06-01","Quoted 1x, never won"
"Brancamenta","2","AI video angle","Spirits","pending","2026-06-01","Spirits brand content"
"Fondazione Fendi","2","AI video angle","Culture","pending","2026-06-02","Quoted 1x, never won"
"Altaroma","1","Existing client","Luxury","pending","2026-06-02","Won 6/6 bids, €6k total, last win 2019"
"Monte Rosa 91","1","Existing client","Various","pending","2026-06-02","Won 1/1 bids, €62k total, last win 2021"
"Ministero della Salute","2","AI video angle","Government","pending","2026-06-01","Bid submitted, large budget — health communication"
"Ministero della Difesa","3","Institutional","Government","contacted","2026-05-22","Quoted 1x, never won"
"Presidenza del Consiglio","3","Institutional","Government","pending","2026-06-05","Past collaboration — requires direct contact"
"Ministero delle Infrastrutture","3","Institutional","Government","pending","2026-06-11","Quoted 1x, never won"
"Unione Europea / Rep. UE","3","Institutional","EU","pending","2026-06-08","Quoted 1x, never won"
"CONI / Sport e Salute","1","Existing client","Government","pending","2026-06-05","Won 2/7 bids, €8k total, last win 2020"
"Comune di Milano","3","Institutional","Government","pending","2026-06-10","Regional institutional content"
"Regione Lombardia","3","Institutional","Government","pending","2026-06-12","Quoted 1x, never won"
"Comune di Roma","2","AI video angle","Government","pending","2026-06-10","Local institutional"
"Regione Lazio","3","Institutional","Government","pending","2026-06-12","Quoted 1x, never won"
"Regione Campania","3","Institutional","Government","pending","2026-06-14","Quoted 1x, never won"
"Asvis","1","Existing client","Non-profit","pending","2026-06-03","Won 1/1 bids, €28k total, last win 2020"
"The Refugee Hub","1","Existing client","Non-profit","pending","2026-06-05","Past collaboration confirmed via presentation"
"ISS / CNT","1","Existing client","Government","contacted","2026-05-16","Won 2/3 bids, €52k total, last win 2021"
"Telethon","1","Existing client","Non-profit","pending","2026-06-08","Past collaboration confirmed via presentation"
"MAXXI","3","Institutional","Culture","pending","2026-06-09","Past collaboration"
"Treccani","2","AI video angle","Culture","pending","2026-06-10","Institutional cultural content"
"Barilla (Foundation)","3","Institutional","Foundation","pending","2026-06-11","Quoted 1x, never won"
"Fondazione Isabella Seragnoli","3","Institutional","Foundation","pending","2026-06-12","Cultural foundation content"
"Presidenza Consiglio sub-depts","3","Institutional","Government","pending","2026-06-14","DIP. innovazione tecnologica / PA etc."
"Beretta","2","AI video angle","Food","contacted","2026-05-16","Second connection, happy vibes so far, no bids"
"Italo","2","AI video angle","Transport","contacted","2026-05-24","Contacted by Ravaioli, awaiting signals"
"Autostrade D'Italia","1","Existing client","Transport","pending","2026-06-11","Film Commercial with paralympic athlete"
"Ministero Natella","1","Existing client","Private Individual","contacted","2026-05-15",""
"Lino Banfi","2","AI video angle","Private Individual","contacted","2026-05-13","Contacted for Avatar Project - Must call the son"
"Di Tondo","1","Existing client","Private Individual","pending","2026-06-12","Always happy to speak with us, doesn't know about the AI"
"Ravaioli","1","Existing client","Private Individual","contacted","2026-05-28","Long history behind, currently trying to make newbiz together"
"McCann Health","1","Existing client","Agency","contacted","2026-06-27",""
"Google","2","AI video angle","Tech","contacted","2026-05-27","Artex + AI"
